tweets,class
Perfect! It’s raining right after I washed my car. #176,1
Had a great workout this morning! #143,0
Had a great workout this morning! #176,0
Enjoyed dinner with the family. #25,0
Fantastic! My phone just died during the most important call. #66,1
I just adore being put on hold for 30 minutes. #39,1
Perfect! It’s raining right after I washed my car. #309,1
Work went really well today. #44,0
Love it when my computer crashes before I save my work. #266,1
"Wow, because waiting in traffic for hours is my favorite pastime. #237",1
Absolutely thrilled that my vacation got canceled. #312,1
Peaceful walk in the park today. #322,0
Love it when my computer crashes before I save my work. #37,1
"Wow, because waiting in traffic for hours is my favorite pastime. #43",1
Had a great workout this morning! #266,0
I just adore being put on hold for 30 minutes. #193,1
Had a great workout this morning! #109,0
Grateful for my supportive friends. #114,0
I just adore being put on hold for 30 minutes. #214,1
Fantastic! My phone just died during the most important call. #324,1
Yay! Another meeting that could have been an email. #325,1
Perfect! It’s raining right after I washed my car. #259,1
Yay! Another meeting that could have been an email. #246,1
Peaceful walk in the park today. #346,0
Grateful for my supportive friends. #259,0
"Wow, because waiting in traffic for hours is my favorite pastime. #299",1
Peaceful walk in the park today. #262,0
"Just finished a good book, highly recommend it! #120",0
"Just finished a good book, highly recommend it! #172",0
Peaceful walk in the park today. #294,0
Loving the weather today. #92,0
Perfect! It’s raining right after I washed my car. #215,1
Had a great workout this morning! #184,0
Work went really well today. #57,0
Perfect! It’s raining right after I washed my car. #107,1
I just adore being put on hold for 30 minutes. #87,1
Enjoyed dinner with the family. #142,0
Had a great workout this morning! #59,0
I just adore being put on hold for 30 minutes. #262,1
"Sure, I'd love to work overtime for free. #98",1
I just adore being put on hold for 30 minutes. #219,1
Absolutely thrilled that my vacation got canceled. #273,1
Nothing like spilling coffee all over your shirt to start the day right. #344,1
Perfect! It’s raining right after I washed my car. #203,1
Enjoyed dinner with the family. #125,0
Yay! Another meeting that could have been an email. #297,1
Fantastic! My phone just died during the most important call. #17,1
"Sure, I'd love to work overtime for free. #337",1
Perfect! It’s raining right after I washed my car. #32,1
Peaceful walk in the park today. #315,0
Yay! Another meeting that could have been an email. #128,1
Peaceful walk in the park today. #75,0
"Just finished a good book, highly recommend it! #284",0
Had a great workout this morning! #90,0
Excited for the weekend trip! #149,0
Perfect! It’s raining right after I washed my car. #212,1
Enjoyed dinner with the family. #36,0
Grateful for my supportive friends. #237,0
Had a productive study session. #239,0
Fantastic! My phone just died during the most important call. #349,1
Work went really well today. #195,0
Watched a great movie tonight. #88,0
Loving the weather today. #311,0
Enjoyed dinner with the family. #253,0
"Oh great, another Monday. Just what I needed. #7",1
Loving the weather today. #31,0
"Sure, I'd love to work overtime for free. #6",1
Excited for the weekend trip! #222,0
Loving the weather today. #199,0
Had a great workout this morning! #231,0
Excited for the weekend trip! #7,0
"Just finished a good book, highly recommend it! #102",0
"Wow, because waiting in traffic for hours is my favorite pastime. #294",1
Work went really well today. #79,0
"Wow, because waiting in traffic for hours is my favorite pastime. #298",1
Peaceful walk in the park today. #181,0
Absolutely thrilled that my vacation got canceled. #163,1
Enjoyed dinner with the family. #230,0
Had a great workout this morning! #113,0
Had a great workout this morning! #303,0
Absolutely thrilled that my vacation got canceled. #243,1
Nothing like spilling coffee all over your shirt to start the day right. #158,1
"Sure, I'd love to work overtime for free. #177",1
"Oh great, another Monday. Just what I needed. #180",1
Love it when my computer crashes before I save my work. #253,1
Grateful for my supportive friends. #28,0
I just adore being put on hold for 30 minutes. #341,1
"Just finished a good book, highly recommend it! #310",0
Nothing like spilling coffee all over your shirt to start the day right. #47,1
"Just finished a good book, highly recommend it! #107",0
Grateful for my supportive friends. #48,0
Love it when my computer crashes before I save my work. #263,1
I just adore being put on hold for 30 minutes. #75,1
Peaceful walk in the park today. #287,0
Peaceful walk in the park today. #200,0
Love it when my computer crashes before I save my work. #56,1
"Sure, I'd love to work overtime for free. #175",1
"Just finished a good book, highly recommend it! #67",0
Perfect! It’s raining right after I washed my car. #181,1
Excited for the weekend trip! #308,0
Love it when my computer crashes before I save my work. #174,1
Excited for the weekend trip! #320,0
Perfect! It’s raining right after I washed my car. #35,1
Work went really well today. #105,0
Yay! Another meeting that could have been an email. #204,1
"Wow, because waiting in traffic for hours is my favorite pastime. #147",1
Loving the weather today. #150,0
Loving the weather today. #159,0
Loving the weather today. #89,0
Yay! Another meeting that could have been an email. #0,1
Work went really well today. #329,0
Enjoyed dinner with the family. #101,0
Absolutely thrilled that my vacation got canceled. #82,1
Love it when my computer crashes before I save my work. #168,1
"Oh great, another Monday. Just what I needed. #280",1
Watched a great movie tonight. #285,0
Enjoyed dinner with the family. #192,0
Loving the weather today. #242,0
"Sure, I'd love to work overtime for free. #240",1
"Sure, I'd love to work overtime for free. #268",1
Fantastic! My phone just died during the most important call. #270,1
I just adore being put on hold for 30 minutes. #62,1
Love it when my computer crashes before I save my work. #254,1
"Oh great, another Monday. Just what I needed. #130",1
Had a productive study session. #190,0
Absolutely thrilled that my vacation got canceled. #198,1
Had a great workout this morning! #187,0
Had a productive study session. #116,0
Work went really well today. #225,0
Grateful for my supportive friends. #289,0
Grateful for my supportive friends. #233,0
Enjoyed dinner with the family. #204,0
Excited for the weekend trip! #349,0
Excited for the weekend trip! #2,0
"Sure, I'd love to work overtime for free. #150",1
Nothing like spilling coffee all over your shirt to start the day right. #28,1
Nothing like spilling coffee all over your shirt to start the day right. #255,1
"Sure, I'd love to work overtime for free. #223",1
Yay! Another meeting that could have been an email. #54,1
Grateful for my supportive friends. #5,0
Peaceful walk in the park today. #211,0
Yay! Another meeting that could have been an email. #310,1
Grateful for my supportive friends. #331,0
Enjoyed dinner with the family. #141,0
Nothing like spilling coffee all over your shirt to start the day right. #111,1
I just adore being put on hold for 30 minutes. #276,1
Yay! Another meeting that could have been an email. #104,1
"Wow, because waiting in traffic for hours is my favorite pastime. #313",1
I just adore being put on hold for 30 minutes. #302,1
Loving the weather today. #309,0
Absolutely thrilled that my vacation got canceled. #224,1
"Wow, because waiting in traffic for hours is my favorite pastime. #68",1
Grateful for my supportive friends. #339,0
Loving the weather today. #227,0
Absolutely thrilled that my vacation got canceled. #281,1
Loving the weather today. #290,0
Had a productive study session. #255,0
"Just finished a good book, highly recommend it! #228",0
Love it when my computer crashes before I save my work. #131,1
Nothing like spilling coffee all over your shirt to start the day right. #256,1
"Sure, I'd love to work overtime for free. #59",1
Peaceful walk in the park today. #243,0
Work went really well today. #8,0
Enjoyed dinner with the family. #177,0
Work went really well today. #40,0
Enjoyed dinner with the family. #263,0
Watched a great movie tonight. #191,0
"Oh great, another Monday. Just what I needed. #152",1
"Wow, because waiting in traffic for hours is my favorite pastime. #311",1
"Oh great, another Monday. Just what I needed. #149",1
Perfect! It’s raining right after I washed my car. #81,1
Love it when my computer crashes before I save my work. #250,1
Peaceful walk in the park today. #27,0
Watched a great movie tonight. #326,0
"Wow, because waiting in traffic for hours is my favorite pastime. #92",1
"Oh great, another Monday. Just what I needed. #217",1
Peaceful walk in the park today. #122,0
"Just finished a good book, highly recommend it! #94",0
"Oh great, another Monday. Just what I needed. #260",1
Loving the weather today. #197,0
I just adore being put on hold for 30 minutes. #267,1
Absolutely thrilled that my vacation got canceled. #185,1
Watched a great movie tonight. #220,0
Nothing like spilling coffee all over your shirt to start the day right. #326,1
Perfect! It’s raining right after I washed my car. #139,1
"Just finished a good book, highly recommend it! #325",0
Nothing like spilling coffee all over your shirt to start the day right. #84,1
Excited for the weekend trip! #19,0
Watched a great movie tonight. #14,0
"Sure, I'd love to work overtime for free. #318",1
Love it when my computer crashes before I save my work. #58,1
Enjoyed dinner with the family. #304,0
Love it when my computer crashes before I save my work. #79,1
Absolutely thrilled that my vacation got canceled. #197,1
Absolutely thrilled that my vacation got canceled. #221,1
Had a productive study session. #332,0
Loving the weather today. #179,0
Work went really well today. #115,0
Loving the weather today. #157,0
Work went really well today. #30,0
Work went really well today. #112,0
Perfect! It’s raining right after I washed my car. #195,1
Nothing like spilling coffee all over your shirt to start the day right. #141,1
Yay! Another meeting that could have been an email. #315,1
Watched a great movie tonight. #110,0
Watched a great movie tonight. #128,0
Excited for the weekend trip! #29,0
Enjoyed dinner with the family. #341,0
Loving the weather today. #170,0
Watched a great movie tonight. #196,0
Absolutely thrilled that my vacation got canceled. #5,1
Grateful for my supportive friends. #155,0
Enjoyed dinner with the family. #217,0
Had a great workout this morning! #55,0
Had a productive study session. #258,0
I just adore being put on hold for 30 minutes. #120,1
Enjoyed dinner with the family. #314,0
Work went really well today. #343,0
Loving the weather today. #76,0
Nothing like spilling coffee all over your shirt to start the day right. #222,1
Watched a great movie tonight. #249,0
Nothing like spilling coffee all over your shirt to start the day right. #269,1
I just adore being put on hold for 30 minutes. #118,1
"Oh great, another Monday. Just what I needed. #286",1
Watched a great movie tonight. #189,0
Excited for the weekend trip! #147,0
"Sure, I'd love to work overtime for free. #156",1
Had a great workout this morning! #229,0
Work went really well today. #328,0
Watched a great movie tonight. #215,0
Work went really well today. #268,0
"Just finished a good book, highly recommend it! #335",0
I just adore being put on hold for 30 minutes. #15,1
"Sure, I'd love to work overtime for free. #11",1
Perfect! It’s raining right after I washed my car. #65,1
Absolutely thrilled that my vacation got canceled. #328,1
Love it when my computer crashes before I save my work. #231,1
Yay! Another meeting that could have been an email. #135,1
"Wow, because waiting in traffic for hours is my favorite pastime. #233",1
Grateful for my supportive friends. #168,0
Had a great workout this morning! #232,0
Excited for the weekend trip! #203,0
I just adore being put on hold for 30 minutes. #34,1
Nothing like spilling coffee all over your shirt to start the day right. #73,1
I just adore being put on hold for 30 minutes. #213,1
Yay! Another meeting that could have been an email. #146,1
Nothing like spilling coffee all over your shirt to start the day right. #112,1
Excited for the weekend trip! #121,0
Perfect! It’s raining right after I washed my car. #57,1
"Just finished a good book, highly recommend it! #161",0
Fantastic! My phone just died during the most important call. #285,1
"Oh great, another Monday. Just what I needed. #30",1
Absolutely thrilled that my vacation got canceled. #125,1
Nothing like spilling coffee all over your shirt to start the day right. #97,1
"Sure, I'd love to work overtime for free. #122",1
Had a productive study session. #56,0
Perfect! It’s raining right after I washed my car. #252,1
"Just finished a good book, highly recommend it! #251",0
Loving the weather today. #210,0
"Just finished a good book, highly recommend it! #134",0
Excited for the weekend trip! #302,0
Love it when my computer crashes before I save my work. #78,1
Love it when my computer crashes before I save my work. #94,1
Peaceful walk in the park today. #288,0
Loving the weather today. #146,0
Work went really well today. #124,0
Watched a great movie tonight. #39,0
Peaceful walk in the park today. #46,0
Yay! Another meeting that could have been an email. #44,1
"Oh great, another Monday. Just what I needed. #106",1
"Sure, I'd love to work overtime for free. #242",1
Watched a great movie tonight. #53,0
Love it when my computer crashes before I save my work. #155,1
Peaceful walk in the park today. #236,0
"Oh great, another Monday. Just what I needed. #110",1
I just adore being put on hold for 30 minutes. #320,1
I just adore being put on hold for 30 minutes. #211,1
"Wow, because waiting in traffic for hours is my favorite pastime. #48",1
I just adore being put on hold for 30 minutes. #166,1
Peaceful walk in the park today. #347,0
Watched a great movie tonight. #323,0
Fantastic! My phone just died during the most important call. #305,1
Work went really well today. #60,0
Loving the weather today. #133,0
Work went really well today. #140,0
Excited for the weekend trip! #182,0
Had a great workout this morning! #49,0
Grateful for my supportive friends. #9,0
Watched a great movie tonight. #267,0
Had a productive study session. #312,0
Absolutely thrilled that my vacation got canceled. #160,1
I just adore being put on hold for 30 minutes. #303,1
Watched a great movie tonight. #209,0
"Just finished a good book, highly recommend it! #71",0
"Oh great, another Monday. Just what I needed. #3",1
